movie_name,movie_href,movie_info,movie_rating,movie_rating_num
肖申克的救赎,https://movie.douban.com/subject/1292052/,导演: 弗兰克·德拉邦特 Frank Darabont 主演: 蒂姆·罗宾斯 Tim Robbins /...,9.7,3057342人评价
霸王别姬,https://movie.douban.com/subject/1291546/,导演: 陈凯歌 Kaige Chen 主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,9.6,2258279人评价
阿甘正传,https://movie.douban.com/subject/1292720/,导演: 罗伯特·泽米吉斯 Robert Zemeckis 主演: 汤姆·汉克斯 Tom Hanks / ...,9.5,2277288人评价
泰坦尼克号,https://movie.douban.com/subject/1292722/,导演: 詹姆斯·卡梅隆 James Cameron 主演: 莱昂纳多·迪卡普里奥 Leonardo...,9.5,2317149人评价
千与千寻,https://movie.douban.com/subject/1291561/,导演: 宫崎骏 Hayao Miyazaki 主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,9.4,2365987人评价
这个杀手不太冷,https://movie.douban.com/subject/1295644/,导演: 吕克·贝松 Luc Besson 主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,9.4,2399971人评价
美丽人生,https://movie.douban.com/subject/1292063/,导演: 罗伯托·贝尼尼 Roberto Benigni 主演: 罗伯托·贝尼尼 Roberto Beni...,9.5,1392577人评价
星际穿越,https://movie.douban.com/subject/1889243/,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 马修·麦康纳 Matthew Mc...,9.4,1986750人评价
盗梦空间,https://movie.douban.com/subject/3541415/,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 莱昂纳多·迪卡普里奥 Le...,9.4,2179151人评价
楚门的世界,https://movie.douban.com/subject/1292064/,导演: 彼得·威尔 Peter Weir 主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,9.4,1842578人评价
辛德勒的名单,https://movie.douban.com/subject/1295124/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 连姆·尼森 Liam Neeson...,9.5,1177787人评价
忠犬八公的故事,https://movie.douban.com/subject/3011091/,导演: 莱塞·霍尔斯道姆 Lasse Hallström 主演: 理查·基尔 Richard Ger...,9.4,1458763人评价
海上钢琴师,https://movie.douban.com/subject/1292001/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 蒂姆·罗斯 Tim Roth / ...,9.3,1759816人评价
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,导演: 拉库马·希拉尼 Rajkumar Hirani 主演: 阿米尔·汗 Aamir Khan / 卡...,9.2,1951631人评价
放牛班的春天,https://movie.douban.com/subject/1291549/,导演: 克里斯托夫·巴拉蒂 Christophe Barratier 主演: 让-巴蒂斯特·莫尼...,9.3,1383197人评价
机器人总动员,https://movie.douban.com/subject/2131459/,导演: 安德鲁·斯坦顿 Andrew Stanton 主演: 本·贝尔特 Ben Burtt / 艾丽...,9.3,1388598人评价
疯狂动物城,https://movie.douban.com/subject/25662329/,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore 主演: 金妮弗·...,9.2,2074262人评价
无间道,https://movie.douban.com/subject/1307914/,导演: 刘伟强 / 麦兆辉 主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,9.3,1452852人评价
控方证人,https://movie.douban.com/subject/1296141/,导演: 比利·怀尔德 Billy Wilder 主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,9.6,628714人评价
大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.2,1608633人评价
熔炉,https://movie.douban.com/subject/5912992/,导演: 黄东赫 Dong-hyuk Hwang 主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,9.3,979129人评价
教父,https://movie.douban.com/subject/1291841/,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 马龙·白兰度 M...,9.3,1027564人评价
触不可及,https://movie.douban.com/subject/6786002/,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano 主...,9.3,1194815人评价
当幸福来敲门,https://movie.douban.com/subject/1849031/,导演: 加布里尔·穆奇诺 Gabriele Muccino 主演: 威尔·史密斯 Will Smith ...,9.2,1594236人评价
寻梦环游记,https://movie.douban.com/subject/20495023/,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina 主演: ...,9.1,1802814人评价
末代皇帝,https://movie.douban.com/subject/1293172/,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci 主演: 尊龙 John Lone / 陈...,9.3,949495人评价
龙猫,https://movie.douban.com/subject/1291560/,导演: 宫崎骏 Hayao Miyazaki 主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,9.2,1332017人评价
怦然心动,https://movie.douban.com/subject/3319755/,导演: 罗伯·莱纳 Rob Reiner 主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,9.1,1929326人评价
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,导演: Chris Columbus 主演: Daniel Radcliffe / Emma Watson / Rupert Grint,9.2,1279585人评价
活着,https://movie.douban.com/subject/1292365/,导演: 张艺谋 Yimou Zhang 主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,9.3,902670人评价
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ...,9.2,1121756人评价
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.3,850650人评价
我不是药神,https://movie.douban.com/subject/26752088/,导演: 文牧野 Muye Wen 主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,9.0,2214498人评价
乱世佳人,https://movie.douban.com/subject/1300267/,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor 主演: 费...,9.3,732708人评价
飞屋环游记,https://movie.douban.com/subject/2129039/,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson 主演: 爱德...,9.1,1401289人评价
素媛,https://movie.douban.com/subject/21937452/,导演: 李濬益 Jun-ik Lee 主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,9.3,727438人评价
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,导演: 宫崎骏 Hayao Miyazaki 主演: 倍赏千惠子 Chieko Baishô / 木村拓...,9.1,1166154人评价
十二怒汉,https://movie.douban.com/subject/1293182/,导演: Sidney Lumet 主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,9.4,530286人评价
让子弹飞,https://movie.douban.com/subject/3742360/,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,9.0,1796111人评价
何以为家,https://movie.douban.com/subject/30170448/,导演: 娜丁·拉巴基 Nadine Labaki 主演: 扎因·拉费阿 Zain al-Rafeea / ...,9.1,1100591人评价
海蒂和爷爷,https://movie.douban.com/subject/25958717/,导演: 阿兰·葛斯彭纳 Alain Gsponer 主演: 阿努克·斯特芬 Anuk Steffen /...,9.3,687059人评价
