应用名称,原始行号
Definition Update for Microsoft Office 2016 (KB3115407) 64-Bit Edition,15
Microsoft Access MUI (Chinese (Simplified)) 2016,23
Microsoft Access database engine 2010 (Chinese (Simplified)),27
Microsoft Excel MUI (Chinese (Simplified)) 2016,2
Microsoft Office 2010 Primary Interop Assemblies,25
Microsoft Office 32-bit Components 2016,2
Microsoft Office Access database engine 2007 (Chinese (Simplified)),25
Microsoft Office IME (Japanese) 2010 (Beta),10
Microsoft Office OSM MUI (Chinese (Simplified)) 2016,2
Microsoft Office OSM UX MUI (Chinese (Simplified)) 2016,2
Microsoft Office Professional Plus 2016,23
Microsoft Office Professional Plus 2016 - en-us,60
Microsoft Office Proofing (Chinese (Simplified)) 2016,2
Microsoft Office Proofing Tools 2016 - English,2
Microsoft Office Shared 32-bit MUI (Chinese (Simplified)) 2016,2
Microsoft Office Shared MUI (Chinese (Simplified)) 2016,2
Microsoft Office Standard 2016,2
Microsoft Office 专业增强版 2016,23
Microsoft Office 专业增强版 2016  - zh-cn,60
Microsoft Office 专业增强版 2016 - zh-cn,18
Microsoft Office 标准版 2016,2
Microsoft Office 校对工具 2016 - 简体中文,2
Microsoft OneNote - ja-jp,8
Microsoft OneNote - zh-cn,8
Microsoft OneNote MUI (Chinese (Simplified)) 2016,2
Microsoft Outlook MUI (Chinese (Simplified)) 2016,2
Microsoft PowerPoint MUI (Chinese (Simplified)) 2016,2
Microsoft Publisher MUI (Chinese (Simplified)) 2016,2
Microsoft Teams Meeting Add-in for Microsoft Office,8
Microsoft Visual Studio 2010 Tools for Office Runtime (x64),6
Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - CHS,6
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)语言包 - 简体中文,6
Microsoft Word MUI (Chinese (Simplified)) 2016,2
Office 16 Click-to-Run Extensibility Component,8
Office 16 Click-to-Run Licensing Component,8
Office 16 Click-to-Run Localization Component,8
Security Update for Microsoft Access 2016 (KB5002701) 64-Bit Edition,25
Security Update for Microsoft Access 2016 (KB5002720) 64-Bit Edition,23
Security Update for Microsoft Excel 2016 (KB5002735) 64-Bit Edition,25
Security Update for Microsoft Excel 2016 (KB5002831) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB2920704) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB2920716) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB3085538) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB3118335) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB3191869) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB3213551) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB4011574) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB4022172) 64-Bit Edition,35
Security Update for Microsoft Office 2016 (KB4022176) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB4461476) 64-Bit Edition,41
Security Update for Microsoft Office 2016 (KB4462148) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB4464583) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB4475581) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB4475587) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB4484103) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB4484432) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB4486670) 64-Bit Edition,41
Security Update for Microsoft Office 2016 (KB4493154) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB4504745) 64-Bit Edition,41
Security Update for Microsoft Office 2016 (KB5001941) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002026) 64-Bit Edition,41
Security Update for Microsoft Office 2016 (KB5002100) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB5002143) 64-Bit Edition,41
Security Update for Microsoft Office 2016 (KB5002197) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB5002341) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002467) 64-Bit Edition,67
Security Update for Microsoft Office 2016 (KB5002469) 64-Bit Edition,25
Security Update for Microsoft Office 2016 (KB5002498) 64-Bit Edition,15
Security Update for Microsoft Office 2016 (KB5002519) 64-Bit Edition,67
Security Update for Microsoft Office 2016 (KB5002522) 64-Bit Edition,67
Security Update for Microsoft Office 2016 (KB5002573) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002575) 64-Bit Edition,30
Security Update for Microsoft Office 2016 (KB5002576) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002588) 64-Bit Edition,25
Security Update for Microsoft Office 2016 (KB5002616) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002655) 64-Bit Edition,25
Security Update for Microsoft Office 2016 (KB5002669) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002730) 64-Bit Edition,25
Security Update for Microsoft Office 2016 (KB5002734) 64-Bit Edition,25
Security Update for Microsoft Office 2016 (KB5002762) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002766) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002812) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002818) 64-Bit Edition,23
Security Update for Microsoft Office 2016 (KB5002826) 64-Bit Edition,23
Security Update for Microsoft OneNote 2016 (KB4484434) 64-Bit Edition,15
Security Update for Microsoft Outlook 2016 (KB5002051) 64-Bit Edition,41
Security Update for Microsoft Outlook 2016 (KB5002543) 64-Bit Edition,67
Security Update for Microsoft PowerPoint 2016 (KB4493224) 64-Bit Edition,41
Security Update for Microsoft PowerPoint 2016 (KB4504720) 64-Bit Edition,15
Security Update for Microsoft PowerPoint 2016 (KB5002495) 64-Bit Edition,67
Security Update for Microsoft PowerPoint 2016 (KB5002746) 64-Bit Edition,25
