应用名称,原始行号
Intel(R) C++ Redistributables on IA-32,8
Intel(R) C++ Redistributables on Intel(R) 64,8
Microsoft VC++ redistributables repacked.,61
Microsoft Visual C++ 110 UWP Desktop Conversion Extension - 11.0.61135.40,67
Microsoft Visual C++ 2005 Redistributable,2
Microsoft Visual C++ 2005 Redistributable (x64),2
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729,2
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,8
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.7523,2
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729,12
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17,67
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148,67
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974,64
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,8
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.7523,2
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,62
Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219,67
Microsoft Visual C++ 2010 x64 Redistributable - 10.0.40219,2
Microsoft Visual C++ 2010 x86 Redistributable - 10.0.40219,2
Microsoft Visual C++ 2010 x86 Runtime - 10.0.40219,64
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.50727,5
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,2
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.50727,5
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,2
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727,5
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030,8
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61135,2
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727,5
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030,8
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61135,2
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727,5
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,8
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61135,2
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727,5
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030,8
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61135,2
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,25
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664,2
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,64
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664,2
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,2
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,2
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664,2
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664,2
Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23506,9
Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.24212,31
Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23506,9
Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24212,31
Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23506,9
Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24212,31
Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23506,9
Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24212,31
Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23506,9
Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.24212,31
Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23506,9
Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.24212,31
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.22.27821,25
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.23.27820,26
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.24.28127,51
Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.22.27821,25
Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.24.28127,58
Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.29.30037,48
Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.29.30133,62
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30528,12
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.32.31332,13
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130,62
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33135,13
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34433,2
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211,8
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30528,12
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.32.31332,49
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.38.33130,64
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34433,2
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211,8
Microsoft Visual C++ 2017 Redistributable (x64) - 14.13.26020,61
Microsoft Visual C++ 2017 Redistributable (x64) - 14.16.27033,24
Microsoft Visual C++ 2017 Redistributable (x86) - 14.13.26020,61
Microsoft Visual C++ 2017 X64 Additional Runtime - 14.16.27033,24
Microsoft Visual C++ 2017 X64 Minimum Runtime - 14.16.27033,24
Microsoft Visual C++ 2017 x64 Additional Runtime - 14.13.26020,61
Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.13.26020,61
Microsoft Visual C++ 2017 x86 Additional Runtime - 14.13.26020,61
Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.13.26020,61
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.22.27821,25
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.23.27820,26
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.24.28127,51
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.22.27821,25
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.23.27820,26
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.24.28127,51
Microsoft Visual C++ 2019 X86 Additional Runtime - 14.22.27821,25
Microsoft Visual C++ 2019 X86 Additional Runtime - 14.24.28127,58
Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30037,48
Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30133,62
Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.22.27821,25
Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.24.28127,58
Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30037,48
Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.29.30133,62
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30528,12
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130,62
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33135,49
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.42.34433,2
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211,8
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35719,6
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30528,12
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130,62
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33135,49
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34433,2
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211,8
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719,6
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30528,12
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.32.31332,49
