应用名称,原始行号
ASUS Framework Service,8
Adobe Flash Player 10 ActiveX,25
Adobe Flash Player 34 ActiveX,49
Intel(R) Dynamic Platform and Thermal Framework,61
Intel(R) Innovation Platform Framework,10
Intel(R) ME WMI Provider,10
Microsoft .NET 6.0 Templates 6.0.428 (x64),67
Microsoft .NET 6.0.21 - Windows Server Hosting,26
Microsoft .NET AppHost Pack - 6.0.36 (x64),67
Microsoft .NET AppHost Pack - 6.0.36 (x64_arm),67
Microsoft .NET AppHost Pack - 6.0.36 (x64_arm64),67
Microsoft .NET AppHost Pack - 6.0.36 (x64_x86),67
Microsoft .NET Core Host - 3.1.10 (x64),62
Microsoft .NET Core Host - 3.1.7 (x64),25
Microsoft .NET Core Host - 3.1.7 (x86),25
Microsoft .NET Core Host FX Resolver - 3.1.10 (x64),62
Microsoft .NET Core Host FX Resolver - 3.1.7 (x64),25
Microsoft .NET Core Host FX Resolver - 3.1.7 (x86),25
Microsoft .NET Core Runtime - 3.1.10 (x64),62
Microsoft .NET Core Runtime - 3.1.7 (x64),25
Microsoft .NET Core Runtime - 3.1.7 (x86),25
Microsoft .NET Framework 1.1,41
Microsoft .NET Framework 4 Multi-Targeting Pack,64
Microsoft .NET Host - 6.0.20 (x64),25
Microsoft .NET Host - 6.0.21 (x64),26
Microsoft .NET Host - 6.0.21 (x86),26
Microsoft .NET Host - 6.0.36 (x64),8
Microsoft .NET Host - 6.0.36 (x86),8
Microsoft .NET Host - 7.0.20 (x64),8
Microsoft .NET Host - 7.0.7 (x64),49
Microsoft .NET Host - 8.0.10 (x64),4
Microsoft .NET Host - 8.0.11 (x64),21
Microsoft .NET Host - 8.0.14 (x64),13
Microsoft .NET Host - 8.0.14 (x86),13
Microsoft .NET Host - 8.0.17 (x64),49
Microsoft .NET Host - 8.0.19 (x64),25
Microsoft .NET Host - 8.0.23 (x64),8
Microsoft .NET Host - 8.0.23 (x86),8
Microsoft .NET Host - 9.0.5 (x64),49
Microsoft .NET Host FX Resolver - 6.0.20 (x64),25
Microsoft .NET Host FX Resolver - 6.0.21 (x64),26
Microsoft .NET Host FX Resolver - 6.0.21 (x86),26
Microsoft .NET Host FX Resolver - 6.0.36 (x64),8
Microsoft .NET Host FX Resolver - 6.0.36 (x86),8
Microsoft .NET Host FX Resolver - 7.0.20 (x64),8
