应用名称,原始行号
9xbuddy,52
ASUS Aac_NBDT HAL,8
ASUS Aura SDK,8
ASUS Monitor Control,8
ASUS Mouse HAL,8
ASUS Smart Display Control,8
ASUS Update Helper,8
AURA Service,8
AURA lighting effect add-on,8
AURA lighting effect add-on x64,8
Ansel,9
AppGallery,56
Armoury Crate Service,8
AutoXlstable,62
BCMNetSignCNG v2.0.2.1,56
BCMNetSignCNG v2.0.2.2,56
BarTender,26
BarTender 2016 R2,31
BarTender 2016 R7 UltraLite,32
BarTender 2022 R8,26
C-Lodop(32-bit),18
CCC Help Chinese Standard,5
CCC Help Chinese Traditional,5
CCC Help Czech,5
CCC Help Danish,5
CCC Help Dutch,5
CCC Help English,5
CCC Help Finnish,5
CCC Help French,5
CCC Help German,5
CCC Help Greek,5
CCC Help Hungarian,5
CCC Help Italian,5
CCC Help Japanese,5
CCC Help Korean,5
CCC Help Norwegian,5
CCC Help Polish,5
CCC Help Russian,5
CCC Help Spanish,5
CCC Help Swedish,5
CCC Help Turkish,5
CorpLink-MDM Policy Engine,3
CryptoKit.BOC (仅用做移除),64
CryptoKit.CertEnrollment.BOC.x64 (仅用做移除),64
CryptoKit.CertEnrollment.BOC.x86 (仅用做移除),64
DAQSTANDARD,25
DHTML Editing Component,2
DS本地安装软件,35
Dell SupportAssist,21
Dell SupportAssist Remediation,25
Documentation Manager,11
EV录屏,51
EasiAgent,10
EasiUpdate,10
EasiUpdate3,10
Everything 1.4.1.1021 (x64),10
Everything 1.4.1.1022 (x64),25
Everything 1.4.1.1026 (x64),67
Figma,10
Figma Agent,10
GameSDK Service,8
Git version 2.20.1,67
Google Update Helper,52
HMS Core,10
HW OSD,10
HiSuite,58
Intel Software Package,10
Intel(R) Dynamic Tuning,11
Intel(R) Dynamic Tuning Technology,10
Intel(R) Icls,25
Intel(R) Integrated Sensor Solution,62
Intel(R) LMS,11
Intel(R) ME UninstallLegacy,9
Intel(R) Management Engine Components,9
Intel(R) OEM Extension,61
Intel(R) Serial IO,2
Intel® Graphics Software,13
Intel® Integrated Sensor Solution,13
Intel® Security Assist,9
Intel® Software Installer,2
Java Auto Updater,64
Java(TM) 6 Update 21,64
LabelShop,64
Logi Options+,51
Mi OSD Utility,9
MindNet,64
MindNow思维导图,64
MizuhoSC,64
NetSentinel,35
NetSignCNG v2.2.158.2,64
Node.js,67
Notepad++ (64-bit x64),67
NvCpl,8
OpenSSL,25
OptaneDowngradeGuard,21
PC克隆,10
Paperang 2.0.15,18
PotPlayer-64 bit,6
Power Automate for desktop,64
Pulse Secure,64
Python 3.11.3 Add to Path (64-bit),67
Python 3.11.3 Documentation (64-bit),67
Python 3.11.3 Executables (64-bit),67
Python 3.11.3 Tcl/Tk Support (64-bit),67
Python 3.11.3 Test Suite (64-bit),67
Python 3.11.3 Utility Scripts (64-bit),67
Python 3.11.3 pip Bootstrap (64-bit),67
Python 3.8.8 (64-bit),67
Python 3.8.8 Documentation (64-bit),67
Python 3.8.8 Executables (64-bit),67
Python 3.8.8 Tcl/Tk Support (64-bit),67
Python 3.8.8 Test Suite (64-bit),67
Python 3.8.8 Utility Scripts (64-bit),67
Python 3.8.8 pip Bootstrap (64-bit),67
Python Launcher,67
ROG CustomHotkey,8
ROG Live Service,8
RstDowngradeGuard,21
SSDT 必备组件,64
SYAN NetONEX/npNetONE v1.5.0.1,35
SanDisk Security,53
SecEditCtl.BOC (仅用做移除),64
Security Update for Skype for Business 2016 (KB5002181) 64-Bit Edition,67
ShunDa 1.1.2,12
ShunDa 1.4.3,4
SmartPKIAgent 1.26.21.1216,35
Stravis,10
TA-60WS,8
TRAPEZIUM2,41
TRAPEZIUMX,41
Tendyron BCM 2GUSBKey V1.0.0.53,56
Tendyron OnKey193_MHBK,64
Thunderbolt™ Software,13
TortoiseGit 1.8.0.0 (64 bit),67
UU远程,50
Update for Skype for Business 2016 (KB5002106) 64-Bit Edition,15
Update for Skype for Business 2016 (KB5002567) 64-Bit Edition,23
Update for Windows 10 for x64-based Systems (KB5001716),25
Update for x64-based Windows Systems (KB5001716),10
VSTO环境安装包 版本 24.0,25
Web Components,27
Windows 11 安装助手,63
Windows Subsystem for Linux,67
Zoom Workplace,8
dch_setup,13
draw.io 27.0.9,67
ePass3003_GFA (仅用做移除),6
neroxml,67
npCryptoKit.BOC.x86 (仅用做移除),64
npCryptoKit.CertEnrollment.BOC.x86 (仅用做移除),64
oneAPI Level Zero,13
vivo办公套件,62
yonyou U8+v15.1,8
yonyou up U8+V12.5,2
个人中心（com.huawei.personalcenter）,10
中国电子口岸客户端控件 1.5.53,18
中国电子口岸客户端控件 1.5.54,64
中国电子口岸客户端控件 1.6.56,6
互传,62
元气桌面,35
光影看图,62
光影魔术手,62
关企交互企业端,6
剪映专业版,52
加速浏览器-2345,5
基层工会单机版,64
小米云服务,9
巡更巡检管理系统,51
我爱巡网页端后台通讯程序,51
抢答系统标准版 v3.2.70,52
擎天全税通生产贸易应用智慧云平台系统软件,64
擎天关票通云平台系统软件(生产企业版),64
擎天大数据传输平台软件,64
数科OFD,12
数科版式,49
星连,2
百度网盘,8
百度翻译 2.0.0,45
百度翻译 2.2.0,64
社保费管理客户端(单位),35
网易云音乐,62
网易有道翻译,24
网易有道词典,67
考试机 3.1.0,51
腾讯电脑管家,44
腾讯视频,49
自然人电子税务局（扣缴端）,64
英特尔(R) 无线 Bluetooth(R),9
英特尔® 芯片组设备软件,5
讯飞星火 1.10.19,12
讯飞语音助手,6
设备网络搜索,67
豆包,6
跨屏互联,51
软件管家 - 2345,5
速打V3.3.0.0,12
钉钉,8
锦帛 7(仅用做移除),64
雷电模拟器,49
