应用名称,原始行号
360压缩,25
7-Zip 25.01 (x64),2
Adobe Acrobat 7.0 Standard - Japanese,10
Adobe Acrobat Reader - Chinese Simplified,2
Adobe Reader XI (11.0.23) - Chinese Simplified,13
Adobe Reader XI - Chinese Simplified,34
Autodesk Material Library 2021,58
Autodesk Material Library Base Resolution Image Library 2021,58
PDF合并分割器,64
Python 3.11.3 Development Libraries (64-bit),67
Python 3.11.3 Standard Library (64-bit),67
Python 3.8.8 Development Libraries (64-bit),67
Python 3.8.8 Standard Library (64-bit),67
SumatraPDF,15
Visual C++ Library CRT Desktop Appx Package,67
Vulkan Run Time Libraries 1.0.42.1,9
Win解压缩,64
福昕云文档,62
福昕阅读器,51
金山PDF 专业版 (11.8.0.8845),44
