应用名称,原始行号
ASUS Ambient HAL,8
Alcor Micro PCIE Card Reader,3
AutoCAD 2021 Language Pack - Simplified Chinese,58
AutoCAD Mechanical 2021 - 简体中文 (Simplified Chinese),58
AutoCAD Mechanical 2021 Language Pack - 简体中文 (Simplified Chinese),58
Google Chrome,50
Intel® Trusted Connect Service Client,9
NVIDIA FrameView SDK 1.3.8513.32290073,25
NVIDIA FrameView SDK 1.5.11504.36206172,8
NVIDIA GPX Common OSS binaries (POCO,25
NVIDIA GeForce Experience 3.28.0.417,25
NVIDIA SHIELD Streaming,25
NVIDIA SHIELD Wireless Controller Driver,25
NVIDIA Telemetry Client,8
Pantum P2500NW Series,54
Pulse Secure Setup Client,10
U8ERP-SmartClient,2
夸克,35
猎豹浏览器,35
