应用名称,原始行号
AI Noise Cancelation Audio Software,8
ASUS Hotplug Controller,8
Adobe Flash Player 34 NPAPI,25
Adobe Flash Player 34 PPAPI,49
Adobe Refresh Manager,4
AutoCAD 2021,58
AutoCAD Mechanical 2021,58
CAD快速看图v5.19.0.91,54
CAD快速看图v6.0.0.93,51
CAD快速看图v6.4.0.100,11
CAD快速看图v6.4.1.101,56
CAD迷你看图,49
CCC Help Portuguese,5
CCC Help Thai,5
DeepSeek本地安装 1.3.4,64
Dell SupportAssist OS Recovery Plugin for Dell Update,21
FlashCenter,49
Foxmail,52
Intel(R) Chipset Device Software,2
Intel(R) Computing Improvement Program,13
Intel(R) HID Event Filter,2
Intel(R) Rapid Storage Technology,5
Logi Plugin Service,51
NVIDIA 3D Vision 驱动程序 382.05,9
NVIDIA AIUser Container,8
NVIDIA Ansel,61
NVIDIA App 11.0.5.420,8
NVIDIA Backend,8
NVIDIA Container,8
NVIDIA Display Container,9
NVIDIA Display Container LS,9
NVIDIA Display Session Container,9
NVIDIA Display Watchdog Plugin,9
NVIDIA HD 音频驱动程序 1.4.3.2,29
NVIDIA HD 音频驱动程序 1.4.5.7,8
NVIDIA Install Application,3
NVIDIA LocalSystem Container,8
NVIDIA Message Bus for NvContainer,25
NVIDIA MessageBus 3 for NvApp,8
NVIDIA NVAPI Monitor plugin for NvContainer,25
NVIDIA NetworkService Container,25
NVIDIA NodeJS,25
NVIDIA NvDLISR,8
NVIDIA NvModuleTracker,25
NVIDIA PhysX 系统软件 9.19.0218,61
NVIDIA PhysX 系统软件 9.23.1019,3
NVIDIA Session Container,8
NVIDIA ShadowPlay 11.0.5.400,8
NVIDIA ShadowPlay 3.28.0.417,25
NVIDIA Stereoscopic 3D Driver,9
NVIDIA Telemetry Container,61
NVIDIA TelemetryApi helper for NvContainer,25
NVIDIA Update Core,25
NVIDIA User Container,8
NVIDIA Virtual Audio 4.65.0.3,8
NVIDIA Virtual Host Controller,25
NVIDIA Watchdog Plugin for NvContainer,8
NVIDIA 图形驱动程序 382.05,9
NVIDIA 图形驱动程序 419.72,61
NVIDIA 图形驱动程序 511.69,64
NVIDIA 图形驱动程序 566.36,3
NVIDIA 图形驱动程序 566.41,25
NVIDIA 图形驱动程序 577.00,29
NVIDIA 图形驱动程序 581.32,30
NVIDIA 图形驱动程序 591.74,8
NVIDIA 控制面板 382.05,9
NVIDIA 控制面板 419.72,61
NVIDIA 更新 39.5.0.0,25
Nvidia Share,8
PrintService 1.9,64
Python 3.11.3 Core Interpreter (64-bit),67
Python 3.8.8 Core Interpreter (64-bit),67
TEPRA Label Editor SPC10,51
TbtLegacyPlug,13
U8ERP-HR-PR,8
U8ERP-PUBLIC-EAI,8
UE4 Prerequisites (x64),8
ahsProtector,35
libprotobuf),25
浩辰CAD 2026 - 简体中文,62
浩辰CAD看图王 - 简体中文,24
