应用名称,原始行号
ACA & MEP 2021 Object Enabler,58
AMD Catalyst Control Center,5
AMD Catalyst Install Manager,5
ASUS Keyboard HAL,8
Apache Tomcat 7.0 Tomcat7 (remove only),67
Catalyst Control Center - Branding,5
Catalyst Control Center Localization All,5
DownloadHelper CoApp,52
Dynamic Application Loader Host Interface Service,10
ExplorerPatcher,10
Inkscape,52
LocalServiceComponents,67
Logi RightSightForWebcams 1.1.207,51
Picasa 3,3
Realtek Card Reader,4
SmartCA _ePass3000GM (仅用做移除),35
U8ERP-BPM-BM,8
U8ERP-BPM-COMMON,8
U8ERP-BPM-CR,8
U8ERP-BPM-FD,8
U8ERP-BPM-GF,8
U8ERP-CRM-CS,8
U8ERP-CRM-SR,8
U8ERP-CW-AP,8
U8ERP-CW-AR,8
U8ERP-CW-CA,8
U8ERP-CW-CASC,8
U8ERP-CW-CM,8
U8ERP-CW-COMMON,8
U8ERP-CW-FA,8
U8ERP-CW-FB,8
U8ERP-CW-FM,8
U8ERP-CW-GL,8
U8ERP-CW-MR,8
U8ERP-CW-NB,8
U8ERP-CW-NE,8
U8ERP-CW-PM,8
U8ERP-CW-SC,8
U8ERP-ECE-UTU,8
U8ERP-GreenService-ISD,8
U8ERP-HR-COMMON,8
U8ERP-HR-HM,8
U8ERP-HR-HT,8
U8ERP-HR-PF,8
U8ERP-HR-RT,8
U8ERP-HR-TM,8
U8ERP-HR-TR,8
U8ERP-HR-WA,8
U8ERP-HR-WM,8
U8ERP-MA-MobileApp,8
U8ERP-OA-Portal,8
U8ERP-PUBLIC-AU,8
U8ERP-PUBLIC-CN,8
U8ERP-PUBLIC-COMMON,8
U8ERP-PUBLIC-COMMON2,8
U8ERP-PUBLIC-QSSS,8
U8ERP-PUBLIC-RES,8
U8ERP-PUBLIC-TW,8
U8ERP-PUBLIC-UAP,8
U8ERP-PUBLIC-US,8
U8ERP-PUBLIC-openapix86,8
U8ERP-SCM-COMMON,8
U8ERP-SCM-EB,8
U8ERP-SCM-EX,8
U8ERP-SCM-EZ,8
U8ERP-SCM-HU,8
U8ERP-SCM-HY,8
U8ERP-SCM-IA,8
U8ERP-SCM-IM,8
U8ERP-SCM-JA,8
U8ERP-SCM-KC,8
U8ERP-SCM-OM,8
U8ERP-SCM-PA,8
U8ERP-SCM-PDM,8
U8ERP-SCM-PU,8
U8ERP-SCM-QM,8
U8ERP-SCM-SA,8
U8ERP-SCM-ST,8
U8ERP-SCM-VM,8
U8ERP-U8M-COMMON,8
U8ERP-U8M-EQ,8
U8ERP-U8M-PFFC,8
U8ERP-User-Define2,8
U8ERP-User-Define3,8
U8ERP-User-Define4,8
U8ERP-User-Define5,8
Visual Basic for Application 7.0.1590,25
中国银行网银助手(仅用做移除),64
交通银行USBKey,56
交通银行企业网银,56
交通银行密码控件 (仅用做移除),56
卸载交通银行USBKey（飞天诚信）,56
壹证通证书控件,35
江苏人社证书助手 1.67.25.1104,35
瑞穗银行网银管家,64
瑞穗银行证书管理工具（仅用做移除）,64
用友U8+V15.1,2
苏州CA助手 版本 1.0.2025.0418,35
证书助手-统计局专版,64
