应用名称,原始行号
Cirrus High Definition Audio Driver,2
Cirrus High Definition Audio Driver Setup,2
Genesys Logic USB Card Reader Driver version 4.5.4.8,62
ISS_Drivers_x64,13
Intel Driver && Support Assistant,13
Intel(R) Arc Software & Drivers,25
Intel(R) Graphics Driver Software,41
Intel(R) Graphics Software & Drivers,4
Intel(R) Management Engine Driver,10
Intel(R) Network Connections Drivers,29
Intel® Driver & Support Assistant,13
QR-668E驱动 版本 1.3.0,4
Realtek Audio Driver,2
Realtek Ethernet Controller Driver,4
Realtek High Definition Audio Driver,3
WDT Device Driver,11
WDT Device Driver version 1.0.3.7,61
WDT_Device_Driver,10
Windows 驱动程序包 - Intel Corporation HDC (09/30/2021 17.11.0.1000),3
Windows 驱动程序包 - Intel Corporation SCSIAdapter (09/30/2021 17.11.0.1000),3
Windows 驱动程序包 - Intel(R) Corporation (IntcDAud) MEDIA (11/21/2021 10.27.0.12),4
Windows 驱动程序包 - Shimadzu USB Driver (usb_64) USB (09/06/2009 ),41
Windows 驱动程序包 - Surface SCSIAdapter (03/29/2017 11.0.4.0),3
华为电脑管家（多屏协同和官方驱动）,11
华申20575国密库驱动软件,35
华申江苏人社专用版国密库驱动软件,35
金报税盘税务数字证书驱动,22
驱动精灵,62
