登记证号,农药名称,农药类别,剂型,总含量,有效期至,登记证持有人,持有人地址
WP20210194,电热蚊香液,卫生杀虫剂,电热蚊香液,1.2%,2031-8-24,福建腾峰日化有限公司,福建省泉州市晋江市罗山街道许坑平安东路370号
WP20210190,杀蟑饵剂,卫生杀虫剂,饵剂,0.5%,2031-8-24,江苏东南植保有限公司,江苏省东台市高新技术工业园区（头灶镇）
WP20210188,杀虫饵剂,卫生杀虫剂,饵剂,0.5%,2031-8-24,河南远见农业科技有限公司,新尉工业园区
WP20210178,杀蚁饵剂,卫生杀虫剂,饵剂,2%,2031-8-24,广东茂名绿银农化有限公司,广东省化州市南盛镇山尾村委会竹头岭
WP20210162,氟氯·吡虫啉,卫生杀虫剂,悬浮剂,31%,2031-8-24,山东中新科农生物科技有限公司,桑园路2号
WP20210159,电热蚊香液,卫生杀虫剂,电热蚊香液,0.9%,2031-8-24,福建腾峰日化有限公司,福建省泉州市晋江市罗山街道许坑平安东路370号
PD20211687,联肼·乙螨唑,杀螨剂,悬浮剂,45%,2031-8-24,驻马店锦绣之星作物科学有限公司,驻马店市产业集聚区管委会综合服务中心5楼511房间
PD20211679,2甲·草铵膦,除草剂,可溶液剂,19.5%,2031-8-24,巨野县韦恩生物科技有限公司,山东省巨野县田桥镇煤化工园田太路东段路北
PD20211661,戊·氧·乙草胺,除草剂,乳油,52%,2031-8-24,山东泰阳生物科技有限公司,山东省泰安市宁阳县经济开发区化学工业园石崮河街
PD20211660,噁唑草·二氯喹,除草剂,可分散油悬浮剂,20%,2031-8-24,隆凯作物科学（山东）有限公司,山东省滨州市北海经济开发区科技孵化器园区
PD20211655,草铵膦,除草剂,可溶液剂,200克/升,2031-8-24,镇江江南化工有限公司,江苏省镇江新区国际化学工业园内
PD20211654,乙羧·草甘膦,除草剂,可湿性粉剂,74.7%,2031-8-24,沧州蓝润生物制药有限公司,河北省沧州市临港化工园区经四路以东化工大道以南
