序号,设备IP,MAC地址,设备类型,设备名称,设备型号,用户名,设备ID,厂商,序列号,固件版本,CPU占用率(%),内存占用率(%),运行时间(小时),通道名称,主码流类型,码率(Kbps),分辨率,备注
1,192.168.1.2,,,,,admin,,,,,,,,,,,,设备不在线
2,192.168.1.3,,,,,admin,,,,,,,,,,,,设备不在线
序号,设备IP,MAC地址,设备类型,设备名称,设备型号,用户名,设备ID,厂商,序列号,固件版本,CPU占用率(%),内存占用率(%),运行时间(小时),通道名称,主码流类型,码率(Kbps),分辨率,备注
1,192.168.1.2,,,,,admin,,,,,,,,,,,,设备不在线
序号,设备IP,MAC地址,设备类型,设备名称,设备型号,用户名,设备ID,厂商,序列号,固件版本,CPU占用率(%),内存占用率(%),运行时间(小时),通道名称,主码流类型,码率(Kbps),分辨率,备注
1,10.101.157.52,64:db:8b:57:fd:ee,摄像头,IP CAMERA,DS-2CD3T35-I5,admin,DS-2CD3T35-I520180111AACH170039735,Hikvision,88,V5.5.0,55,85,5400,CQ02_水,H.265,3072,2048x1536,
序号,设备IP,MAC地址,设备类型,设备名称,设备型号,用户名,设备ID,厂商,序列号,固件版本,CPU占用率(%),内存占用率(%),运行时间(小时),通道名称,主码流类型,码率(Kbps),分辨率,备注
1,10.101.157.52,64:db:8b:57:fd:ee,摄像头,IP CAMERA,DS-2CD3T35-I5,admin,DS-2CD3T35-I520180111AACH170039735,Hikvision,88,V5.5.0,20,85,5400,CQ02_水,H.265,3072,2048x1536,
2,10.101.157.53,,,,,admin,,,,,,,,CQ02_水,H.265,3072,2048x1536,设备不在线
3,10.101.157.54,,,,,admin,,,,,,,,CQ02_水,H.265,3072,2048x1536,设备不在线
序号,设备IP,MAC地址,设备类型,设备名称,设备型号,用户名,设备ID,厂商,序列号,固件版本,CPU占用率(%),内存占用率(%),运行时间(小时),通道名称,主码流类型,码率(Kbps),分辨率,备注
1,10.101.157.52,64:db:8b:57:fd:ee,摄像头,IP CAMERA,DS-2CD3T35-I5,admin,DS-2CD3T35-I520180111AACH170039735,Hikvision,88,V5.5.0,64,85,5400,CQ02_水,H.265,3072,2048x1536,
2,10.101.157.53,,,,,admin,,,,,,,,CQ02_水,H.265,3072,2048x1536,设备不在线
3,10.101.157.54,,,,,admin,,,,,,,,CQ02_水,H.265,3072,2048x1536,设备不在线
